time,lat,lng,七级半径（公里）,十级半径（公里）,十二级半径（公里）
7月24日6点20分,124.6,25.93333333,300,100,40
7月24日6点25分,124.6,25.94166667,300,100,40
7月24日6点30分,124.6,25.95,300,100,40
7月24日6点35分,124.6,25.95833333,300,100,40
7月24日6点40分,124.6,25.96666667,300,100,40
7月24日6点45分,124.6,25.975,300,100,40
7月24日6点50分,124.6,25.98333333,300,100,40
7月24日6点55分,124.6,25.99166667,300,100,40
7月24日7点0分,124.6,26,300,100,40
7月24日7点05分,124.6,26.00833333,300,100,40
7月24日7点10分,124.6,26.01666667,300,100,40
7月24日7点15分,124.6,26.025,300,100,40
7月24日7点20分,124.6,26.03333333,300,100,40
7月24日7点25分,124.6,26.04166667,300,100,40
7月24日7点30分,124.6,26.05,300,100,40
7月24日7点35分,124.6,26.05833333,300,100,40
7月24日7点40分,124.6,26.06666667,300,100,40
7月24日7点45分,124.6,26.075,300,100,40
7月24日7点50分,124.6,26.08333333,300,100,40
7月24日7点55分,124.6,26.09166667,300,100,40
7月24日8点0分,124.6,26.1,300,100,40
7月24日8点05分,124.6,26.11666667,300,100,40
7月24日8点10分,124.6,26.13333333,300,100,40
7月24日8点15分,124.6,26.15,300,100,40
7月24日8点20分,124.6,26.16666667,300,100,40
7月24日8点25分,124.6,26.18333333,300,100,40
7月24日8点30分,124.6,26.2,300,100,40
7月24日8点35分,124.6,26.21666667,300,100,40
7月24日8点40分,124.6,26.23333333,300,100,40
7月24日8点45分,124.6,26.25,300,100,40
7月24日8点50分,124.6,26.26666667,300,100,40
7月24日8点55分,124.6,26.28333333,300,100,40
7月24日9点0分,124.6,26.3,300,100,40
7月24日9点05分,124.6,26.31666667,300,100,40
7月24日9点10分,124.6,26.33333333,300,100,40
7月24日9点15分,124.6,26.35,300,100,40
7月24日9点20分,124.6,26.36666667,300,100,40
7月24日9点25分,124.6,26.38333333,300,100,40
7月24日9点30分,124.6,26.4,300,100,40
7月24日9点35分,124.6,26.41666667,300,100,40
7月24日9点40分,124.6,26.43333333,300,100,40
7月24日9点45分,124.6,26.45,300,100,40
7月24日9点50分,124.6,26.46666667,300,100,40
7月24日9点55分,124.6,26.48333333,300,100,40
7月24日10点0分,124.6,26.5,300,100,40
7月24日10点05分,124.5916667,26.51666667,300,100,40
7月24日10点10分,124.5833333,26.53333333,300,100,40
7月24日10点15分,124.575,26.55,300,100,40
7月24日10点20分,124.5666667,26.56666667,300,100,40
7月24日10点25分,124.5583333,26.58333333,300,100,40
7月24日10点30分,124.55,26.6,300,100,40
7月24日10点35分,124.5416667,26.61666667,300,100,40
7月24日10点40分,124.5333333,26.63333333,300,100,40
7月24日10点45分,124.525,26.65,300,100,40
7月24日10点50分,124.5166667,26.66666667,300,100,40
7月24日10点55分,124.5083333,26.68333333,300,100,40
7月24日11点0分,124.5,26.7,300,100,40
7月24日11点05分,124.4916667,26.71666667,300,100,40
7月24日11点10分,124.4833333,26.73333333,300,100,40
7月24日11点15分,124.475,26.75,300,100,40
7月24日11点20分,124.4666667,26.76666667,300,100,40
7月24日11点25分,124.4583333,26.78333333,300,100,40
7月24日11点30分,124.45,26.8,300,100,40
7月24日11点35分,124.4416667,26.81666667,300,100,40
7月24日11点40分,124.4333333,26.83333333,300,100,40
7月24日11点45分,124.425,26.85,300,100,40
7月24日11点50分,124.4166667,26.86666667,300,100,40
7月24日11点55分,124.4083333,26.88333333,300,100,40
7月24日12点0分,124.4,26.9,300,100,40
7月24日12点05分,124.3916667,26.91666667,300,100,40
7月24日12点10分,124.3833333,26.93333333,300,100,40
7月24日12点15分,124.375,26.95,300,100,40
7月24日12点20分,124.3666667,26.96666667,300,100,40
7月24日12点25分,124.3583333,26.98333333,300,100,40
7月24日12点30分,124.35,27,300,100,40
7月24日12点35分,124.3416667,27.01666667,300,100,40
7月24日12点40分,124.3333333,27.03333333,300,100,40
7月24日12点45分,124.325,27.05,300,100,40
7月24日12点50分,124.3166667,27.06666667,300,100,40
7月24日12点55分,124.3083333,27.08333333,300,100,40
7月24日13点0分,124.3,27.1,300,100,40
7月24日13点05分,124.3,27.10833333,300,100,40
7月24日13点10分,124.3,27.11666667,300,100,40
7月24日13点15分,124.3,27.125,300,100,40
7月24日13点20分,124.3,27.13333333,300,100,40
7月24日13点25分,124.3,27.14166667,300,100,40
7月24日13点30分,124.3,27.15,300,100,40
7月24日13点35分,124.3,27.15833333,300,100,40
7月24日13点40分,124.3,27.16666667,300,100,40
7月24日13点45分,124.3,27.175,300,100,40
7月24日13点50分,124.3,27.18333333,300,100,40
7月24日13点55分,124.3,27.19166667,300,100,40
7月24日14点0分,124.3,27.2,300,100,40
7月24日14点05分,124.2916667,27.20833333,300,100,40
7月24日14点10分,124.2833333,27.21666667,300,100,40
7月24日14点15分,124.275,27.225,300,100,40
7月24日14点20分,124.2666667,27.23333333,300,100,40
7月24日14点25分,124.2583333,27.24166667,300,100,40
7月24日14点30分,124.25,27.25,300,100,40
7月24日14点35分,124.2416667,27.25833333,300,100,40
7月24日14点40分,124.2333333,27.26666667,300,100,40
7月24日14点45分,124.225,27.275,300,100,40
7月24日14点50分,124.2166667,27.28333333,300,100,40
7月24日14点55分,124.2083333,27.29166667,300,100,40
7月24日15点0分,124.2,27.3,300,100,40
7月24日15点05分,124.2,27.30833333,300,100,40
7月24日15点10分,124.2,27.31666667,300,100,40
7月24日15点15分,124.2,27.325,300,100,40
7月24日15点20分,124.2,27.33333333,300,100,40
7月24日15点25分,124.2,27.34166667,300,100,40
7月24日15点30分,124.2,27.35,300,100,40
7月24日15点35分,124.2,27.35833333,300,100,40
7月24日15点40分,124.2,27.36666667,300,100,40
7月24日15点45分,124.2,27.375,300,100,40
7月24日15点50分,124.2,27.38333333,300,100,40
7月24日15点55分,124.2,27.39166667,300,100,40
7月24日16点0分,124.2,27.4,300,100,40
7月24日16点05分,124.2,27.40833333,300,100,40
7月24日16点10分,124.2,27.41666667,300,100,40
7月24日16点15分,124.2,27.425,300,100,40
7月24日16点20分,124.2,27.43333333,300,100,40
7月24日16点25分,124.2,27.44166667,300,100,40
7月24日16点30分,124.2,27.45,300,100,40
7月24日16点35分,124.2,27.45833333,300,100,40
7月24日16点40分,124.2,27.46666667,300,100,40
7月24日16点45分,124.2,27.475,300,100,40
7月24日16点50分,124.2,27.48333333,300,100,40
7月24日16点55分,124.2,27.49166667,300,100,40
7月24日17点0分,124.2,27.5,300,100,40
7月24日17点05分,124.2,27.51666667,300,100,40
7月24日17点10分,124.2,27.53333333,300,100,40
7月24日17点15分,124.2,27.55,300,100,40
7月24日17点20分,124.2,27.56666667,300,100,40
7月24日17点25分,124.2,27.58333333,300,100,40
7月24日17点30分,124.2,27.6,300,100,40
7月24日17点35分,124.2,27.61666667,300,100,40
7月24日17点40分,124.2,27.63333333,300,100,40
7月24日17点45分,124.2,27.65,300,100,40
7月24日17点50分,124.2,27.66666667,300,100,40
7月24日17点55分,124.2,27.68333333,300,100,40
7月24日18点0分,124.2,27.7,300,100,40
7月24日18点05分,124.1916667,27.70833333,300,100,40
7月24日18点10分,124.1833333,27.71666667,300,100,40
7月24日18点15分,124.175,27.725,300,100,40
7月24日18点20分,124.1666667,27.73333333,300,100,40
